기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11230,동대문구,CS200041,사진관,166.0,169.0,0.6,1.0,5.9,10.0,3.0
20252,11230,동대문구,CS300005,주류도매,24.0,24.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS200029,네일숍,143.0,143.0,0.0,0.0,6.3,9.0,0.0
20252,11305,강북구,CS200030,피부관리실,259.0,268.0,6.7,18.0,4.5,12.0,9.0
20252,11305,강북구,CS200031,세탁소,120.0,147.0,3.4,5.0,4.8,7.0,27.0
20252,11305,강북구,CS200042,통번역서비스,21.0,21.0,0.0,0.0,4.8,1.0,0.0
20252,11230,동대문구,CS300034,악기,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS300001,슈퍼마켓,263.0,346.0,5.5,19.0,2.0,7.0,83.0
20252,11305,강북구,CS300002,편의점,68.0,248.0,2.4,6.0,2.4,6.0,180.0
20252,11230,동대문구,CS300043,전자상거래업,768.0,768.0,0.1,1.0,4.0,31.0,0.0
20252,11305,강북구,CS300011,일반의류,713.0,716.0,1.5,11.0,3.4,24.0,3.0
20252,11305,강북구,CS300013,유아의류,26.0,28.0,0.0,0.0,0.0,0.0,2.0
20252,11260,중랑구,CS100002,중식음식점,100.0,120.0,3.3,4.0,5.8,7.0,20.0
20252,11260,중랑구,CS100007,치킨전문점,77.0,225.0,7.1,16.0,8.0,18.0,148.0
20252,11260,중랑구,CS100010,커피-음료,470.0,681.0,5.0,34.0,4.7,32.0,211.0
20252,11260,중랑구,CS200001,일반교습학원,568.0,638.0,0.6,4.0,1.9,12.0,70.0
20252,11260,중랑구,CS200002,외국어학원,36.0,38.0,0.0,0.0,0.0,0.0,2.0
20252,11260,중랑구,CS200003,예술학원,268.0,280.0,1.1,3.0,1.1,3.0,12.0
20252,11305,강북구,CS300015,가방,39.0,39.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS300034,악기,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20252,11320,도봉구,CS100002,중식음식점,84.0,91.0,2.2,2.0,3.3,3.0,7.0
20252,11320,도봉구,CS200007,치과의원,113.0,113.0,0.0,0.0,0.0,0.0,0.0
20252,11320,도봉구,CS200029,네일숍,130.0,131.0,0.0,0.0,1.5,2.0,1.0
20252,11320,도봉구,CS300003,컴퓨터및주변장치판매,78.0,78.0,2.6,2.0,1.3,1.0,0.0
20252,11320,도봉구,CS300008,수산물판매,67.0,68.0,1.5,1.0,2.9,2.0,1.0
20252,11320,도봉구,CS300023,미용재료,32.0,32.0,0.0,0.0,3.1,1.0,0.0
20252,11260,중랑구,CS200017,골프연습장,38.0,43.0,0.0,0.0,0.0,0.0,5.0
20252,11320,도봉구,CS300027,섬유제품,62.0,62.0,8.1,5.0,1.6,1.0,0.0
20252,11320,도봉구,CS300040,재생용품 판매점,38.0,38.0,0.0,0.0,0.0,0.0,0.0
20252,11350,노원구,CS100009,호프-간이주점,375.0,438.0,1.8,8.0,3.4,15.0,63.0
20252,11350,노원구,CS100010,커피-음료,547.0,815.0,3.6,29.0,5.3,43.0,268.0
20252,11260,중랑구,CS200023,통신기기수리,14.0,14.0,7.1,1.0,0.0,0.0,0.0
